Frame,X position (pixels),Y position (pixels),Intensity,Fit Radius
7,176.68,128.48,8668.4,1.0422
7,182,137.88,6174.1,2.9032
7,166.08,140.26,8927.6,0.90531
7,77.168,154.57,7644.8,0.90538
7,147.63,102.22,8269.6,1.6638
7,187.77,112.52,8179.8,1.1366
7,171.25,150.12,8623.2,1.1832
7,84.39,47.59,8890.7,2.6781
7,110.54,92.879,8510.8,1.9306
8,45.96,91.438,7759.6,0.93419
8,92.181,113.67,12665,0.95835
8,162.12,153.17,25296,1.9126
8,132.95,67.438,11269,0.98101
8,111.07,82.623,12288,0.79675
8,201.7,89.137,10160,0.96343
8,127.93,89.66,11433,0.87789
8,110.01,92.542,7274.8,1.0179
8,159.37,92.678,7520.1,0.8208
8,152.28,95.229,16649,0.93389
8,158.9,111.5,11564,1.1084
8,118.32,114.23,16587,1.0773
8,107.16,117.54,8414.3,0.84213
8,99.856,128.06,8427.5,0.96593
8,181.78,137.46,10124,0.99215
8,185.49,98.377,9402.4,1.4076
8,132.79,125.18,10667,1.3719
8,176.6,129.01,8315.3,1.4561
8,163.93,142.56,8905,1.4923
8,104.52,151.1,10450,2.2445
8,144.09,141.57,11361,0.68411
8,166.86,102.21,8305.3,1.454
8,147.97,103.81,7092.5,0.84256
8,121.56,104.66,10995,0.79249
8,169.2,109.83,8395.1,0.55167
8,75.954,126.03,7995.5,0.78479
8,152.18,130.17,9259.3,0.64202
8,104.27,135.74,7786.7,0.94025
8,157.53,176.33,12049,0.74405
8,165.69,139.78,6835,0.87272
8,65.612,81.557,6656.3,1.6932
8,131.81,96.874,14760,2.4458
8,103.75,101.57,10147,2.2628
8,38.042,113.31,10740,2.5418
8,118.81,125.36,13025,2.6178
8,180.67,136.91,5886,0.79235
8,124.56,157.57,7598,1.7817
9,127.73,89.8,9502.9,1.1084
9,91.973,113.68,10697,0.9974
9,118.09,122.28,13609,1.3479
9,100.95,127.27,17840,2.0193
9,103.21,150.12,17430,2.193
9,43.797,153.85,8745.1,0.91779
9,142.84,57.691,10212,1.1114
9,133.05,67.267,13230,1.2289
9,152.25,95.415,13469,0.90926
9,76.321,112.24,9362.2,1.2312
9,118.32,114.32,25078,1.0121
9,106.82,117.39,16963,1.06
9,142.44,121.94,10458,0.83358
9,133.78,125.89,9288.1,0.92688
9,160.54,132.79,12435,0.91418
9,154.7,158.71,9734.9,1.0787
9,105.03,100.89,12778,2.2066
9,158.84,110.77,11097,0.68786
9,38.728,113.52,11041,1.9189
9,162.95,152.85,22237,2.4801
9,202.12,88.933,7799.4,0.66169
9,128.12,139.93,7280.3,0.83574
9,154.7,166.14,12125,0.71287
9,165.47,114.92,15027,0.89985
9,167.44,118.04,9398.7,0.65652
9,76.455,126.36,7268.3,1.1932
9,76.926,154.9,4362.6,0.40393
9,84.086,47.027,9805,2.7503
9,142.22,58.657,3766.7,0.62944
9,131.4,96.614,9086.8,2.616
9,185.07,110.65,16593,2.4672
9,90.529,138.16,8151.6,1.881
9,145.52,170.03,11776,2.9474
9,235.1,183.5,6581.9,2.3154
9,139.52,169.62,9388.2,2.3223
10,118.5,114,18032,1.2332
10,103.57,127.62,16823,1.5202
10,157.28,176.32,11951,0.82062
10,132.74,66.459,9752.6,0.78026
10,67.106,82.257,7337.6,0.95708
10,196.04,83.552,11864,0.82225
10,127.78,89.345,12386,0.97667
10,201.71,88.943,9245.8,0.94209
10,152.15,95.385,19613,0.90026
10,76.723,112.63,15132,0.88389
10,92.23,113.88,12346,1.1248
10,133.44,125.91,17538,0.89489
10,160.63,132.6,11235,0.87626
10,166.17,139.76,9527,0.97002
10,77.005,154.81,8581.2,0.60135
10,140.59,183.38,7271.2,0.97264
