Frame,X position (pixels),Y position (pixels),Intensity,Fit Radius
29,112.3,153.09,9709.1,1.1
29,78.35,45.795,12697,1.1
30,59.991,57.346,9766,1.1
30,38.041,66.378,8422.3,1.1
30,31.546,76.09,6448.5,1.1
30,58.427,84.242,8862.5,1.1
30,114.49,148.34,8130.8,1.1
30,109.91,46.772,8803.8,1.1
31,24.207,48.937,4430.6,1.1
31,89.805,62.982,8988.8,1.1
31,38.251,65.658,7565.6,1.1
31,82.184,73.843,11021,1.1
31,96.192,92.489,9399.3,1.1
31,122.89,95.45,8288.3,1.1
31,95.84,139.85,6239,1.1
31,119.01,55.85,8586,1.1
32,73.674,61.656,10756,1.1
32,43.462,74.331,8364,1.1
32,97.122,92.881,8343.8,1.1
32,77.989,96.49,10119,1.1
32,32.357,100.07,8018.9,1.1
32,111.9,153.64,10131,1.1
32,76.529,157.78,10293,1.1
32,134.89,25.267,6096.5,1.1
33,48,45.846,7344.1,1.1
33,78.496,45.693,8999.8,1.1
33,37.944,66.323,7591.2,1.1
33,115.08,102.39,10737,1.1
33,78.099,7.4446,7321.8,1.1
34,73.366,61.587,9872.8,1.1
34,77.499,76.16,11880,1.1
34,118.11,81.197,9943.3,1.1
34,89.447,87.515,12626,1.1
34,128.5,91.053,7255.7,1.1
34,70.385,94.455,9851.1,1.1
34,130.99,118.64,9398.4,1.1
34,93.496,151.32,7941.2,1.1
34,66.087,29.545,6558.4,1.1
35,114.24,57.961,8298.2,1.1
35,73.5,62.144,8856.4,1.1
35,135.84,62.151,5548.9,1.1
35,37.816,66.044,9151.5,1.1
35,93.76,70.123,8491,1.1
35,44.121,74.681,8942.8,1.1
35,77.185,75.927,10074,1.1
35,98.033,79.884,9869.3,1.1
35,88.899,87.808,10430,1.1
35,100.07,37.796,7280.4,1.1
36,149.25,53.046,6965,1.1
36,145.28,58.551,7175.6,1.1
36,23.178,64.775,5091.5,1.1
36,90.168,71.018,7424.6,1.1
36,127.02,91.078,7463.7,1.1
36,130.85,119.24,10600,1.1
36,114.64,56.416,9432.6,1.1
37,98.087,79.589,8386.6,1.1
37,47.272,83.188,7690.8,1.1
37,108.96,113.04,13117,1.1
37,131.69,118.47,11835,1.1
37,108,174.58,7138,1.1
37,77.48,76.48,8936.4,1.1
38,98.628,80.142,7465.8,1.1
38,47.885,83.108,8992.9,1.1
38,124.69,102.95,9144.8,1.1
38,102.29,115.9,11771,1.1
38,74.993,157.76,10528,1.1
38,136.76,44.153,6963.6,1.1
39,61.127,57.739,6173.8,1.1
39,47.568,83.108,10668,1.1
39,78.559,96.896,9214.6,1.1
39,104.46,96.694,12003,1.1
39,131.56,118.03,10017,1.1
39,126.24,134.51,7492.6,1.1
39,75.63,158.27,11549,1.1
39,44.35,74.77,8845.4,1.1
40,77.643,76.026,8546.8,1.1
40,38.033,77.818,8218.2,1.1
40,116.27,81.522,8862.1,1.1
40,47.592,83.053,10477,1.1
40,105.04,95.973,11492,1.1
40,101.16,116.87,14675,1.1
40,105.88,129.25,7116.5,1.1
40,55.973,143.53,8295.2,1.1
40,120.17,79.133,6893,1.1
40,63.557,37.824,9223.8,1.1
41,59.905,85.845,8068.5,1.1
41,70.335,95.062,7798.5,1.1
41,78.454,97.157,12892,1.1
41,126.95,135.43,9987.1,1.1
41,111.79,148.6,7537.6,1.1
41,111.94,153.27,10231,1.1
41,64.145,38.349,8194.3,1.1
42,110.02,41.469,10216,1.1
42,120.07,45.631,9085.7,1.1
42,138.86,44.866,6976.6,1.1
42,83.24,85.05,9718,1.1
42,77.272,87.198,8402.9,1.1
42,104.96,95.821,13108,1.1
42,101.55,115.85,12720,1.1
42,39.102,116.97,5719.9,1.1
42,56.226,143.91,8744.3,1.1
42,92.634,150.3,9796.1,1.1
42,75.321,157.98,7299.9,1.1
42,56.852,40.445,7041.7,1.1
43,78.725,45.573,11754,1.1
43,48.813,46.656,6318.7,1.1
43,37.866,82.418,7307.9,1.1
43,105.94,84.64,7280.2,1.1
43,90.38,87.965,8818.6,1.1
